time,lon,lat,speed,weight,state
2024-07-25 12:43:47,86.187183,54.278131,0,1,0
2024-07-25 12:43:44,86.187183,54.278131,0,1,0
2024-07-25 12:43:42,86.187183,54.278131,0,1,0
2024-07-25 12:43:38,86.187183,54.278131,0,1,0
2024-07-25 12:43:36,86.187183,54.278131,0,1,0
2024-07-25 12:43:32,86.187183,54.278131,0,1,0
2024-07-25 12:43:26,86.187183,54.278131,0,1,0
2024-07-25 12:43:25,86.187183,54.278131,0,1,0
2024-07-25 12:43:20,86.187183,54.278131,0,1,0
2024-07-25 12:43:14,86.187183,54.278131,0,1,0
2024-07-25 12:43:11,86.187183,54.278131,0,1,0
2024-07-25 12:43:08,86.187183,54.278131,0,1,0
2024-07-25 12:43:03,86.187183,54.278131,0,1,0
2024-07-25 12:43:02,86.187183,54.278131,0,1,0
2024-07-25 12:42:55,86.187183,54.278131,0,1,0
2024-07-25 12:42:52,86.187183,54.278131,0,1,0
2024-07-25 12:42:49,86.187183,54.278131,0,1,0
2024-07-25 12:42:43,86.187183,54.278131,0,1,0
2024-07-25 12:42:41,86.187183,54.278131,0,1,0
2024-07-25 12:42:37,86.187183,54.278131,0,1,0
2024-07-25 12:42:31,86.187183,54.278131,0,1,0
2024-07-25 12:42:30,86.187183,54.278131,0,1,0
2024-07-25 12:42:25,86.187183,54.278131,0,1,0
2024-07-25 12:42:19,86.187183,54.278131,0,1,0
2024-07-25 12:42:13,86.187183,54.278131,0,1,0
2024-07-25 12:42:10,86.187183,54.278131,0,1,0
2024-07-25 12:42:08,86.187183,54.278131,0,1,0
2024-07-25 12:42:07,86.187183,54.278131,0,1,0
2024-07-25 12:42:00,86.187183,54.278131,0,1,0
2024-07-25 12:41:57,86.187183,54.278131,0,1,0
2024-07-25 12:41:54,86.187183,54.278131,0,1,0
2024-07-25 12:41:48,86.187183,54.278131,0,1,0
2024-07-25 12:41:46,86.187183,54.278131,0,1,0
2024-07-25 12:41:42,86.187183,54.278131,0,1,0
2024-07-25 12:41:40,86.187183,54.278131,0,1,0
2024-07-25 12:41:36,86.187183,54.278131,0,1,0
2024-07-25 12:41:35,86.187183,54.278131,0,1,0
2024-07-25 12:41:30,86.187183,54.278131,0,1,0
2024-07-25 12:41:24,86.187183,54.278131,0,1,0
2024-07-25 12:41:18,86.187183,54.278131,0,0,0
2024-07-25 12:41:13,86.187183,54.278131,0,0,0
2024-07-25 12:41:12,86.187183,54.278131,0,0,0
2024-07-25 12:41:09,86.187183,54.278131,0,0,0
2024-07-25 12:41:05,86.187183,54.278131,0,0,0
2024-07-25 12:41:02,86.187183,54.278131,0,0,0
2024-07-25 12:40:59,86.187183,54.278131,0,0,0
2024-07-25 12:40:53,86.187183,54.278131,0,0,0
2024-07-25 12:40:51,86.187183,54.278131,0,0,0
2024-07-25 12:40:47,86.187183,54.278131,0,0,0
2024-07-25 12:40:41,86.187183,54.278131,0,0,0
2024-07-25 12:40:40,86.187183,54.278131,0,0,0
2024-07-25 12:40:39,86.187183,54.278131,0,0,0
2024-07-25 12:40:35,86.187183,54.278131,0,0,0
2024-07-25 12:40:29,86.187183,54.278131,0,1,0
2024-07-25 12:40:23,86.187183,54.278131,0,1,0
2024-07-25 12:40:18,86.187183,54.278131,0,2,0
2024-07-25 12:40:17,86.187183,54.278131,0,2,0
2024-07-25 12:40:11,86.187183,54.278131,0,2,0
2024-07-25 12:40:08,86.187183,54.278131,0,1,0
2024-07-25 12:40:07,86.187183,54.278131,0,1,0
2024-07-25 12:40:04,86.187183,54.278131,0,1,0
2024-07-25 12:39:58,86.187183,54.278131,0,2,0
2024-07-25 12:39:56,86.187183,54.278131,0,3,0
2024-07-25 12:39:52,86.187183,54.278131,0,3,0
2024-07-25 12:39:46,86.187183,54.278131,0,2,0
2024-07-25 12:39:45,86.187183,54.278131,0,0,0
2024-07-25 12:39:40,86.187193,54.278045,9.399999618530273,0,0
2024-07-25 12:39:38,86.187193,54.277996,7.699999809265137,0,0
2024-07-25 12:39:34,86.187175,54.277898,9.199999809265137,0,0
2024-07-25 12:39:28,86.187096,54.277755,10.300000190734863,0,0
2024-07-25 12:39:23,86.187075,54.277603,10.300000190734863,0,0
2024-07-25 12:39:22,86.187075,54.277603,10.300000190734863,0,0
2024-07-25 12:39:16,86.187151,54.277458,10.5,0,0
2024-07-25 12:39:12,86.18727,54.277371,10.899999618530273,0,0
2024-07-25 12:39:10,86.187455,54.277336,10.5,0,0
2024-07-25 12:39:07,86.187546,54.277335,9.600000381469727,0,0
2024-07-25 12:39:03,86.187733,54.277356,11.399999618530273,0,0
2024-07-25 12:39:01,86.187818,54.277383,12.399999618530273,0,0
2024-07-25 12:38:57,86.187958,54.277491,10.100000381469727,0,0
2024-07-25 12:38:51,86.188105,54.277666,12.699999809265137,0,0
2024-07-25 12:38:50,86.188105,54.277666,12.699999809265137,0,0
2024-07-25 12:38:45,86.188241,54.277851,9.600000381469727,0,0
2024-07-25 12:38:39,86.188353,54.277975,6.199999809265137,0,0
2024-07-25 12:38:37,86.18839,54.278008,6.400000095367432,0,0
2024-07-25 12:38:33,86.188455,54.278063,5.099999904632568,0,0
2024-07-25 12:38:28,86.188573,54.278111,0,2,0
2024-07-25 12:38:27,86.188573,54.278111,0,2,0
2024-07-25 12:38:21,86.188573,54.278111,0,2,0
2024-07-25 12:38:17,86.188573,54.278111,0,2,0
2024-07-25 12:38:15,86.188573,54.278111,0,2,0
2024-07-25 12:38:09,86.188573,54.278111,0,1,0
2024-07-25 12:38:06,86.188573,54.278111,0,1,0
2024-07-25 12:38:02,86.188573,54.278111,0,1,0
2024-07-25 12:37:56,86.188573,54.278111,0,0,0
2024-07-25 12:37:55,86.188573,54.278111,0,0,0
2024-07-25 12:37:50,86.188573,54.278111,0,0,0
2024-07-25 12:37:44,86.188573,54.278111,0,0,0
2024-07-25 12:37:38,86.188573,54.278111,0,0,0
2024-07-25 12:37:36,86.188573,54.278111,0,0,0
2024-07-25 12:37:33,86.188573,54.278111,0,0,0
2024-07-25 12:37:32,86.188573,54.278111,0,0,0
2024-07-25 12:37:26,86.188573,54.278111,0,0,0
2024-07-25 12:37:22,86.188573,54.278111,0,0,0
2024-07-25 12:37:20,86.188573,54.278111,0,0,0
2024-07-25 12:37:13,86.188573,54.278111,0,0,0
2024-07-25 12:37:11,86.188573,54.278111,0,0,0
2024-07-25 12:37:07,86.188573,54.278111,0,0,0
2024-07-25 12:37:05,86.188573,54.278111,0,0,0
2024-07-25 12:37:01,86.188573,54.278111,0,0,0
2024-07-25 12:37:00,86.188573,54.278111,0,0,0
2024-07-25 12:36:55,86.188573,54.278111,0,0,0
2024-07-25 12:36:49,86.188573,54.278111,0,0,0
2024-07-25 12:36:43,86.188573,54.278111,0,0,0
2024-07-25 12:36:38,86.188573,54.278111,0,0,0
2024-07-25 12:36:37,86.188573,54.278111,0,0,0
2024-07-25 12:36:34,86.188573,54.278111,0,0,0
2024-07-25 12:36:31,86.188573,54.278111,0,0,0
2024-07-25 12:36:27,86.188573,54.278111,0,0,0
2024-07-25 12:36:25,86.188573,54.278111,0,0,0
2024-07-25 12:36:18,86.188573,54.278111,0,0,0
2024-07-25 12:36:16,86.188573,54.278111,0,0,0
2024-07-25 12:36:12,86.188573,54.278111,0,0,0
2024-07-25 12:36:06,86.188573,54.278111,0,0,0
2024-07-25 12:36:05,86.188573,54.278111,0,0,0
2024-07-25 12:36:04,86.188573,54.278111,0,0,0
2024-07-25 12:36:00,86.188573,54.278111,0,0,0
2024-07-25 12:35:54,86.188573,54.278111,0,0,0
2024-07-25 12:35:48,86.188573,54.278111,0,0,0
2024-07-25 12:35:43,86.188573,54.278111,0,0,0
2024-07-25 12:35:42,86.188573,54.278111,0,0,0
2024-07-25 12:35:36,86.188573,54.278111,0,0,0
2024-07-25 12:35:33,86.188573,54.278111,0,0,0
2024-07-25 12:35:32,86.188573,54.278111,0,0,0
2024-07-25 12:35:30,86.188573,54.278111,0,0,0
2024-07-25 12:35:23,86.188573,54.278111,0,0,0
2024-07-25 12:35:21,86.188573,54.278111,0,0,0
2024-07-25 12:35:17,86.188573,54.278111,0,0,0
2024-07-25 12:35:11,86.188573,54.278111,0,0,0
2024-07-25 12:35:10,86.188573,54.278111,0,0,0
2024-07-25 12:35:05,86.188573,54.278111,0,0,0
2024-07-25 12:35:03,86.188573,54.278111,0,0,0
2024-07-25 12:34:59,86.188573,54.278111,0,0,0
2024-07-25 12:34:53,86.188573,54.278111,0,0,0
2024-07-25 12:34:48,86.188573,54.278111,0,0,0
2024-07-25 12:34:47,86.188573,54.278111,0,0,0
2024-07-25 12:34:41,86.188573,54.278111,0,0,0
2024-07-25 12:34:37,86.188573,54.278111,0,0,0
2024-07-25 12:34:35,86.188573,54.278111,0,0,0
2024-07-25 12:34:32,86.188573,54.278111,0,0,0
2024-07-25 12:34:29,86.188573,54.278111,0,0,0
2024-07-25 12:34:26,86.188573,54.278111,0,0,0
2024-07-25 12:34:23,86.188573,54.278111,0,0,0
2024-07-25 12:34:16,86.188573,54.278111,0,0,0
2024-07-25 12:34:15,86.188573,54.278111,0,0,0
2024-07-25 12:34:10,86.188573,54.278111,0,0,0
2024-07-25 12:34:04,86.188573,54.278111,0,0,0
2024-07-25 12:34:02,86.188573,54.278111,0,0,0
2024-07-25 12:33:58,86.188573,54.278111,0,0,0
2024-07-25 12:33:53,86.188573,54.278111,0,0,0
2024-07-25 12:33:52,86.188573,54.278111,0,0,0
2024-07-25 12:33:46,86.188573,54.278111,0,0,0
2024-07-25 12:33:42,86.188573,54.278111,0,0,0
2024-07-25 12:33:40,86.188573,54.278111,0,0,0
2024-07-25 12:33:34,86.188573,54.278111,0,0,0
2024-07-25 12:33:31,86.188573,54.278111,0,0,0
2024-07-25 12:33:28,86.188573,54.278111,0,0,0
2024-07-25 12:33:22,86.188573,54.278111,0,0,0
2024-07-25 12:33:20,86.188573,54.278111,0,0,0
2024-07-25 12:33:15,86.188573,54.278111,0,0,0
2024-07-25 12:33:09,86.188573,54.278111,0,0,0
2024-07-25 12:33:03,86.188573,54.278111,0,0,0
2024-07-25 12:33:01,86.188573,54.278111,0,0,0
2024-07-25 12:32:58,86.188573,54.278111,0,0,0
2024-07-25 12:32:57,86.188573,54.278111,0,0,0
